iter	MultiClass
0	1.442803995
1	1.323164638
2	1.236696696
3	1.16743049
4	1.106947039
5	1.052033054
6	1.007537112
7	0.9705957398
8	0.927176444
9	0.891669403
10	0.8588837925
11	0.8310037509
12	0.798729777
13	0.7721719674
14	0.7485802392
15	0.7268724863
16	0.7044178679
17	0.6859641899
18	0.6723192981
19	0.6564437602
20	0.6439826247
21	0.6302487795
22	0.6202394169
23	0.6085754687
24	0.5961613167
25	0.5845873007
26	0.5748424386
27	0.5639440751
28	0.5532774567
29	0.5400237278
30	0.5316013537
31	0.5227797805
32	0.5158198319
33	0.5065330871
34	0.4980603208
35	0.4902801431
36	0.4810655809
37	0.4732927978
38	0.466656289
39	0.4632654572
40	0.4567464762
41	0.4481805221
42	0.4389464017
43	0.4316418314
44	0.4225754623
45	0.4151213712
46	0.409403946
47	0.4029697695
48	0.3962535478
49	0.3882099652
50	0.3831788722
51	0.3797230123
52	0.3735044736
53	0.3668026916
54	0.3626881531
55	0.3585168626
56	0.3550604955
57	0.3496819225
58	0.3469335065
59	0.3427438851
60	0.3380270186
61	0.3308802759
62	0.3257427288
63	0.3185103939
64	0.3152837518
65	0.3120435121
66	0.3081292845
67	0.3059984349
68	0.3008850769
69	0.2972014996
70	0.2956122381
71	0.2935780417
72	0.2912229084
73	0.2859412499
74	0.2831616222
75	0.2802099107
76	0.2788411674
77	0.2775421656
78	0.2739939679
79	0.270580378
80	0.2685290317
81	0.2663805167
82	0.2623777441
83	0.2602289749
84	0.2587130322
85	0.2571586356
86	0.2541481303
87	0.2525225023
88	0.2494225735
89	0.2476862317
90	0.2452141152
91	0.2417983694
92	0.238213336
93	0.2363609959
94	0.2342782321
95	0.2317998555
96	0.228452499
97	0.2269863744
98	0.2252805995
99	0.2220143398
100	0.2191009261
101	0.2176436035
102	0.2156419484
103	0.2150048319
104	0.2126016817
105	0.2110191891
106	0.2071411552
107	0.205724787
108	0.2030608072
109	0.2002930826
110	0.1988300776
111	0.1974944858
112	0.1952698813
113	0.193520454
114	0.1925396963
115	0.1909388101
116	0.189190436
117	0.1878055304
118	0.1862924998
119	0.1851767121
120	0.184206794
121	0.1815921351
122	0.1790544048
123	0.1773384996
124	0.176228185
125	0.1752510294
126	0.1734155263
127	0.1721645713
128	0.1706388682
129	0.16923043
130	0.1679707922
131	0.1664606
132	0.1656409186
133	0.1652375716
134	0.1632430438
135	0.1614593641
136	0.1589636203
137	0.1568751599
138	0.1544693604
139	0.1534665565
140	0.1532367326
141	0.1521080778
142	0.1507683949
143	0.1497229246
144	0.1488698926
145	0.1481012113
146	0.1467737121
147	0.1460213414
148	0.1443581669
149	0.1440794857
150	0.1435649388
151	0.1423133092
152	0.1413983564
153	0.1400880284
154	0.1390551617
155	0.1385749027
156	0.1375744853
157	0.1364900901
158	0.1352418714
159	0.1348035351
160	0.1335615654
161	0.1321649919
162	0.1310453957
163	0.1300696882
164	0.1292767166
165	0.1283752872
166	0.1271341869
167	0.1264440919
168	0.1254718988
169	0.1245811195
170	0.1237729914
171	0.1230662501
172	0.1222717402
173	0.1215019252
174	0.1211506538
175	0.1204875919
176	0.119758544
177	0.1189140939
178	0.1179787126
179	0.1171586685
180	0.115959532
181	0.1152917741
182	0.1144306422
183	0.1139714385
184	0.1134531099
185	0.112576113
186	0.111573061
187	0.1107532707
188	0.1101284219
189	0.1095733315
190	0.1086664938
191	0.1082151105
192	0.1073602052
193	0.1064259054
194	0.1058781335
195	0.1049531945
196	0.1044586128
197	0.1040327883
198	0.1033974829
199	0.1030389754
200	0.1027450919
201	0.1024053373
202	0.1020472863
203	0.1012949225
204	0.1009472244
205	0.1004459191
206	0.09981199352
207	0.09924067686
208	0.09839380561
209	0.09736018205
210	0.096932466
211	0.09625997266
212	0.09565415173
213	0.09512522959
214	0.09462377361
215	0.09394248713
216	0.09357350535
217	0.09280011599
218	0.09262931489
219	0.09187840999
220	0.09161242145
221	0.09089273206
222	0.09074731155
223	0.08992998568
224	0.08921339856
225	0.08858921993
226	0.088378585
227	0.08813781729
228	0.08786344096
229	0.08719819252
230	0.08675025733
231	0.08645527024
232	0.08617496889
233	0.08594519273
234	0.08562979764
235	0.08519610761
236	0.08467409084
237	0.08445242371
238	0.08424035976
239	0.08382349004
240	0.08344787708
241	0.08297686424
242	0.08239470761
243	0.08198411587
244	0.080968828
245	0.08080220244
246	0.08041049575
247	0.08020085955
248	0.07984194224
249	0.07961470096
