iter	Passed	Remaining
0	5	1281
1	8	1035
2	11	945
3	14	911
4	18	901
5	22	905
6	25	876
7	28	858
8	31	845
9	35	845
10	39	851
11	42	836
12	45	827
13	48	821
14	51	813
15	55	807
16	58	803
17	62	801
18	66	809
19	69	802
20	72	794
21	76	788
22	79	785
23	83	782
24	87	785
25	90	779
26	94	778
27	97	770
28	100	763
29	103	759
30	107	756
31	111	757
32	114	750
33	118	750
34	121	748
35	124	741
36	127	735
37	131	730
38	134	728
39	138	726
40	141	718
41	144	713
42	146	706
43	150	704
44	153	700
45	156	694
46	159	690
47	162	684
48	166	681
49	169	678
50	172	672
51	175	666
52	178	662
53	181	658
54	184	654
55	187	649
56	190	644
57	193	642
58	198	641
59	201	636
60	204	633
61	208	631
62	211	626
63	214	623
64	218	620
65	221	618
66	225	615
67	229	614
68	232	610
69	237	609
70	241	607
71	245	606
72	248	603
73	253	601
74	256	599
75	259	595
76	261	588
77	265	585
78	268	581
79	273	581
80	279	582
81	283	580
82	287	577
83	290	574
84	294	572
85	298	569
86	302	566
87	306	563
88	310	562
89	314	559
90	317	555
91	321	552
92	325	550
93	329	546
94	333	543
95	340	545
96	344	542
97	347	539
98	353	539
99	357	536
100	361	533
101	365	530
102	369	527
103	371	521
104	374	517
105	378	514
106	383	512
107	387	509
108	391	506
109	395	502
110	400	501
111	406	500
112	410	497
113	414	493
114	417	490
115	420	486
116	424	482
117	427	478
118	430	474
119	434	470
120	438	467
121	441	463
122	445	459
123	448	456
124	452	452
125	456	449
126	460	445
127	463	442
128	468	439
129	471	435
130	475	431
131	478	427
132	482	424
133	485	420
134	489	416
135	492	412
136	496	409
137	500	406
138	503	402
139	507	398
140	510	394
141	514	391
142	517	387
143	521	383
144	525	380
145	528	376
146	532	373
147	536	369
148	540	366
149	544	363
150	548	359
151	552	356
152	555	352
153	559	349
154	563	345
155	566	341
156	571	338
157	574	334
158	578	330
159	582	327
160	585	323
161	589	320
162	592	316
163	595	312
164	599	308
165	603	305
166	606	301
167	609	297
168	613	293
169	616	290
170	620	286
171	623	282
172	626	278
173	630	275
174	633	271
175	636	267
176	640	264
177	644	260
178	647	256
179	651	253
180	654	249
181	658	246
182	661	242
183	665	238
184	668	234
185	671	231
186	675	227
187	679	224
188	682	220
189	688	217
190	693	214
191	698	211
192	702	207
193	706	203
194	710	200
195	714	196
196	719	193
197	722	189
198	725	186
199	729	182
200	732	178
201	735	174
202	738	170
203	741	167
204	745	163
205	748	159
206	752	156
207	756	152
208	759	149
209	763	145
210	767	141
211	771	138
212	775	134
213	778	131
214	782	127
215	785	123
216	789	120
217	792	116
218	795	112
219	799	108
220	802	105
221	806	101
222	809	98
223	813	94
224	816	90
225	820	87
226	823	83
227	826	79
228	830	76
229	833	72
230	837	68
231	840	65
232	843	61
233	847	57
234	850	54
235	854	50
236	857	47
237	861	43
238	865	39
239	868	36
240	872	32
241	875	28
242	880	25
243	883	21
244	886	18
245	891	14
246	894	10
247	898	7
248	901	3
249	905	0
